descripcion,categoria_slug,idioma,comercio
PIX Latam Brasil,transporte,pt,Latam Brasil
Cargo No Identificado,otros,es,Cargo No Identificado
PAGO SERVICIO CARGO NO IDENTIFICADO,otros,es,Cargo No Identificado
Office Depot SUC 6104,compras,es,Office Depot
PAGO SERVICIO Credito Hipotecario BBVA,vivienda,es,Credito Hipotecario BBVA
PIX Atacadao,alimentacion,pt,Atacadao
CARTAO Consulta Medica,salud,pt,Consulta Medica
Laboratorio Fleury SALVADOR,salud,pt,Laboratorio Fleury
SALUD DIGNA #4389,salud,es,Salud Digna
COMPRA EN LAVANDERIA EXPRESS,otros,es,Lavanderia Express
ABONO DE SUELDO,ingresos,es,Abono de Sueldo
INTERESES,finanzas,es,Intereses
Streaming RECIFE,entretenimiento,pt,Streaming
Taxes,finanzas,en,Taxes
Pagamento Fatura Cartao Nubank *ZKT9ROM,finanzas,pt,Pagamento Fatura Cartao Nubank
Dominos Pizza MEX,alimentacion,es,Dominos Pizza
PAYMENT Comcast Xfinity,servicios,en,Comcast Xfinity
Entretenimento RECIFE,entretenimiento,pt,Entretenimento
COMPRA EN LINEA,compras,es,Compra en Linea
PAGO SERVICIO Nomina Quincenal,ingresos,es,Nomina Quincenal
Prestamo Personal HSBC *TEXU2,finanzas,es,Prestamo Personal HSBC
BART US,transporte,en,BART
Toll SEATTLE,transporte,en,Toll
Aportacion a Fondo,ahorro_inversion,es,Aportacion a Fondo
AGUA Y SANEAMIENTO SACMEX #6500,servicios,es,Agua y Saneamiento SACMEX
Ikea Mexico *87C7G23C,vivienda,es,Ikea Mexico
HOSPITAL ALBERT EINSTEIN SAO PAULO,salud,pt,Hospital Albert Einstein
Gas Natural Fenosa MERIDA,servicios,es,Gas Natural Fenosa
PAYMENT MTA SUBWAY,transporte,en,MTA Subway
Calcados,compras,pt,Calcados
Telha Norte BR,vivienda,pt,Telha Norte
TARJ Ferreteria El Tornillo,vivienda,es,Ferreteria El Tornillo
Nao Classificado,otros,pt,Nao Classificado
Emprestimo Pessoal Santander,finanzas,pt,Emprestimo Pessoal Santander
DOMINOS PIZZA SUC 575,alimentacion,es,Dominos Pizza
Wayfair #1189,compras,en,Wayfair
Educacion,educacion,es,Educacion
BANK SERVICE FEE,finanzas,en,Bank Service Fee
TAX REFUND,ingresos,en,Tax Refund
RECURRING EXXON MOBIL,transporte,en,Exxon Mobil
DEVOLUCION DE IMPUESTOS SAT,ingresos,es,Devolucion de Impuestos SAT
Reforma Predial,vivienda,pt,Reforma Predial
RENTAL INCOME *282RTKI,ingresos,en,Rental Income
COMPRA Cinemark Brasil,entretenimiento,pt,Cinemark Brasil
Financiamento da Casa,vivienda,pt,Financiamento da Casa
DEBITO AUTOMATICO Juros Cheque Especial,finanzas,pt,Juros Cheque Especial
BURGER KING MEX,alimentacion,es,Burger King
DEBITO AUTOMATICO AMERICANAS,compras,pt,Americanas
CARGO NO IDENTIFICADO SUC 496,otros,es,Cargo No Identificado
Salary,ingresos,en,Salary
Seven Eleven,alimentacion,es,Seven Eleven
PAGO SERVICIO COPPEL,compras,es,Coppel
OCIO,entretenimiento,es,Ocio
COMPRA REEMBOLSO DE DESPESAS,ingresos,pt,Reembolso de Despesas
COMPRA TDC Clinica Medica Sur,salud,es,Clinica Medica Sur
DISNEY PLUS SUC 7793,entretenimiento,es,Disney Plus
PAGO Transferencia a Cuenta de Ahorro,ahorro_inversion,es,Transferencia a Cuenta de Ahorro
Mortgage LOS ANGELES,vivienda,en,Mortgage
DOM AGUINALDO,ingresos,es,Aguinaldo
ACH Publix,alimentacion,en,Publix
POS Coursera Subscription,educacion,en,Coursera Subscription
COMPRA TDC Ticketmaster Concierto,entretenimiento,es,Ticketmaster Concierto
NOMINA QUINCENAL *BGBRM,ingresos,es,Nomina Quincenal
DOM Starbucks,alimentacion,es,Starbucks
Manutencao do Lar RECIFE,vivienda,pt,Manutencao do Lar
MENSALIDADE FACULDADE USP #3858,educacion,pt,Mensalidade Faculdade USP
Regalo CDMX,compras,es,Regalo
PAYMENT UNITED AIRLINES,transporte,en,United Airlines
COMPRA TDC Sportsworld Gym,entretenimiento,es,Sportsworld Gym
Wayfair,compras,en,Wayfair
PROPERTY TAX #3869,vivienda,en,Property Tax
Casa e Video Moveis BR,vivienda,pt,Casa e Video Moveis
PIX SPTrans,transporte,pt,SPTrans
Coursera Cursos MEX,educacion,es,Coursera Cursos
Ocio TIJUANA,entretenimiento,es,Ocio
Pago de Renta QUERETARO,vivienda,es,Pago de Renta
Vips *MN4R7,alimentacion,es,Vips
Academia SALVADOR,entretenimiento,pt,Academia
DEBIT Delta Air Lines,transporte,en,Delta Air Lines
GOL LINHAS AEREAS,transporte,pt,Gol Linhas Aereas
Anuidade Cartao Bradesco *RJXD4,finanzas,pt,Anuidade Cartao Bradesco
Uncategorized,otros,en,Uncategorized
TAX REFUND *EH44KDM7,ingresos,en,Tax Refund
CASH WITHDRAWAL,otros,en,Cash Withdrawal
Chipotle US,alimentacion,en,Chipotle
SUPERMERCADO,alimentacion,es,Supermercado
DOM AT&T MEXICO,servicios,es,AT&T Mexico
TARJ AMAZON PRIME VIDEO,entretenimiento,es,Amazon Prime Video
Renta GUADALAJARA,vivienda,es,Renta
COMPRA TDC Colegio Particular Cuota,educacion,es,Colegio Particular Cuota
COMPRA CARTAO SABESP AGUA,servicios,pt,Sabesp Agua
Footwear,compras,en,Footwear
PAGAMENTO FATURA CARTAO NUBANK,finanzas,pt,Pagamento Fatura Cartao Nubank
COMPRA TDC FCIA GUADALAJARA,salud,es,FCIA Guadalajara
COMPRA EN Chedraui,alimentacion,es,Chedraui
Transferencia a Ahorro,ahorro_inversion,es,Transferencia a Ahorro
Fidelity Brokerage,ahorro_inversion,en,Fidelity Brokerage
COMPRA EN PLOMERIA RAPIDA,vivienda,es,Plomeria Rapida
PIX Saque em Caixa Eletronico,otros,pt,Saque em Caixa Eletronico
Videogames RIO DE JANEIRO,entretenimiento,pt,Videogames
Lanchonete SALVADOR,alimentacion,pt,Lanchonete
BOBS RECIFE,alimentacion,pt,Bobs
ACH WATER BILL,servicios,en,Water Bill
REPARTO DE UTILIDADES #1885,ingresos,es,Reparto de Utilidades
CALCADOS,compras,pt,Calcados
COMPRA TDC NIKE STORE,compras,es,Nike Store
ENERGIA ELETRICA,servicios,pt,Energia Eletrica
SPOTIFY USA *SQGOR,entretenimiento,en,Spotify USA
COMPRA TDC TRANSFERENCIA RECIBIDA,ingresos,es,Transferencia Recibida
PAYMENT MACYS,compras,en,Macys
COMPRA CARTAO Imposto de Renda Receita Federal,finanzas,pt,Imposto de Renda Receita Federal
Insurance,finanzas,en,Insurance
BONUS,ingresos,en,Bonus
CARTAO SPTrans,transporte,pt,SPTrans
Passagem Onibus PORTO ALEGRE,transporte,pt,Passagem Onibus
Sprouts Farmers Market,alimentacion,en,Sprouts Farmers Market
Condominio,vivienda,pt,Condominio
DOM Regalo Cumpleanos,otros,es,Regalo Cumpleanos
TARJ MOBIL,transporte,es,Mobil
PIX PIX RECEBIDO SALARIO,ingresos,pt,PIX Recebido Salario
DEBIT COURSERA SUBSCRIPTION,educacion,en,Coursera Subscription
Unidentified Charge US,otros,en,Unidentified Charge
DEPOSITO RECEBIDO,ingresos,pt,Deposito Recebido
BONUS PAYMENT #3005,ingresos,en,Bonus Payment
PURCHASE EZ Pass Toll,transporte,en,EZ Pass Toll
Lab Test SEATTLE,salud,en,Lab Test
Roth IRA Deposit *F98T9TGZ,ahorro_inversion,en,Roth IRA Deposit
Spotify Premium SUC 5284,entretenimiento,es,Spotify Premium
Water NEW YORK,servicios,en,Water
Educacao SAO PAULO,educacion,pt,Educacao
PIX RAPPI BRASIL,alimentacion,pt,Rappi Brasil
GYM,entretenimiento,en,Gym
Farmacias Guadalajara,salud,es,Farmacias Guadalajara
DEBITO AUTOMATICO Oi Telecomunicacoes,servicios,pt,Oi Telecomunicacoes
Sitio Taxi Reforma MEX,transporte,es,Sitio Taxi Reforma
PIX Consulta Medica,salud,pt,Consulta Medica
COMPRA CARTAO ALURA CURSOS,educacion,pt,Alura Cursos
ACH TICKETMASTER EVENT,entretenimiento,en,Ticketmaster Event
Card Annual Fee,finanzas,en,Card Annual Fee
RESTAURANT,alimentacion,en,Restaurant
UTILITIES,servicios,en,Utilities
COURSE,educacion,en,Course
Aplicacao em CDB,ahorro_inversion,pt,Aplicacao em CDB
PURCHASE Wire Transfer Received,ingresos,en,Wire Transfer Received
DEBIT Payroll Deposit,ingresos,en,Payroll Deposit
Lowes Home Improvement,vivienda,en,Lowes Home Improvement
TARJ VETERINARIA PATITAS,otros,es,Veterinaria Patitas
ACH Chipotle,alimentacion,en,Chipotle
COMPRA EN SHEIN,compras,es,Shein
Dentist NEW YORK,salud,en,Dentist
Donativo Cruz Roja MEX,otros,es,Donativo Cruz Roja
ACH Coursera Subscription,educacion,en,Coursera Subscription
CUENTA DE AHORRO,ahorro_inversion,es,Cuenta de Ahorro
UBER MERIDA,transporte,es,Uber
DEBITO AUTOMATICO TELECINE,entretenimiento,pt,Telecine
TELECINE BR,entretenimiento,pt,Telecine
Shopping HOUSTON,compras,en,Shopping
OUTROS,otros,pt,Outros
PAYMENT WHOLE FOODS MARKET,alimentacion,en,Whole Foods Market
PAYMENT HAIR SALON,otros,en,Hair Salon
DEBIT Health Insurance Premium,salud,en,Health Insurance Premium
CARD Laundromat,otros,en,Laundromat
MERCADO LIBRE,compras,es,Mercado Libre
PIX Gol Linhas Aereas,transporte,pt,Gol Linhas Aereas
RECIBO DE LUZ,servicios,es,Recibo de Luz
UCI CINEMAS SALVADOR,entretenimiento,pt,UCI Cinemas
NIKE STORE #6248,compras,es,Nike Store
PURCHASE Safeway,alimentacion,en,Safeway
McDonalds MONTERREY,alimentacion,es,McDonalds
Centauro Esportes,compras,pt,Centauro Esportes
COMPRA CARTAO CASA E VIDEO MOVEIS,vivienda,pt,Casa e Video Moveis
DEBITO AUTOMATICO Leroy Merlin,vivienda,pt,Leroy Merlin
Client Invoice Paid,ingresos,en,Client Invoice Paid
Roth IRA Deposit,ahorro_inversion,en,Roth IRA Deposit
DOM UBER EATS,alimentacion,es,Uber Eats
Material Escolar *H5KHOGS,educacion,pt,Material Escolar
Amazon HOUSTON,compras,en,Amazon
COMPRA TDC ALIEXPRESS,compras,es,AliExpress
CARD Emergency Fund Transfer,ahorro_inversion,en,Emergency Fund Transfer
CARTAO TESOURO DIRETO,ahorro_inversion,pt,Tesouro Direto
RECURRING CHARITY DONATION,otros,en,Charity Donation
Conta de Luz RIO DE JANEIRO,servicios,pt,Conta de Luz
COMPRA TDC AGUINALDO,ingresos,es,Aguinaldo
Insurance HOUSTON,finanzas,en,Insurance
Bus Fare LOS ANGELES,transporte,en,Bus Fare
TED MENSALIDADE ESCOLA OBJETIVO,educacion,pt,Mensalidade Escola Objetivo
Tarifa Bancaria,finanzas,pt,Tarifa Bancaria
Bar do Zeca RECIFE,entretenimiento,pt,Bar do Zeca
NETSHOES,compras,pt,Netshoes
Deposito Recibido QUERETARO,ingresos,es,Deposito Recibido
YouTube Premium,entretenimiento,es,YouTube Premium
WIRE TRANSFER RECEIVED *V4C7N1,ingresos,en,Wire Transfer Received
H&M Mexico,compras,es,H&M Mexico
PAYROLL,ingresos,en,Payroll
AT&T Mexico *MLGK8UUT,servicios,es,AT&T Mexico
Steam Juegos #5567,entretenimiento,es,Steam Juegos
Compra Online,compras,pt,Compra Online
HBO Max TIJUANA,entretenimiento,es,HBO Max
Streaming Subscription CHICAGO,entretenimiento,en,Streaming Subscription
CARD CLIENT INVOICE PAID,ingresos,en,Client Invoice Paid
Plumbing Service *075N,vivienda,en,Plumbing Service
Taxes HOUSTON,finanzas,en,Taxes
PAGAMENTO IOF OPERACAO,finanzas,pt,IOF Operacao
PIX Compra de Bitcoin,ahorro_inversion,pt,Compra de Bitcoin
Videojuegos,entretenimiento,es,Videojuegos
Restaurant HOUSTON,alimentacion,en,Restaurant
ACH SAFEWAY,alimentacion,en,Safeway
ACH AT&T Internet,servicios,en,AT&T Internet
Nintendo eShop *1ZGQTTL,entretenimiento,es,Nintendo eShop
Barberia El Corte MEX,otros,es,Barberia El Corte
Casas Bahia,compras,pt,Casas Bahia
CONTA DE LUZ,servicios,pt,Conta de Luz
YOUTUBE PREMIUM,entretenimiento,es,YouTube Premium
DOM Dominos Pizza,alimentacion,es,Dominos Pizza
Academia,entretenimiento,pt,Academia
Consulta Medica RIO DE JANEIRO,salud,pt,Consulta Medica
COMPRA TDC Telmex,servicios,es,Telmex
NATURAL GAS,servicios,en,Natural Gas
TRANSPORT,transporte,en,Transport
CARTAO POSTO IPIRANGA,transporte,pt,Posto Ipiranga
PADARIA,alimentacion,pt,Padaria
PURCHASE REGAL CINEMAS,entretenimiento,en,Regal Cinemas
Otros QUERETARO,otros,es,Otros
BEAT MONTERREY,transporte,es,Beat
PAGO COMPRA DE DOLARES,ahorro_inversion,es,Compra de Dolares
Savings NEW YORK,ahorro_inversion,en,Savings
DOM CHEDRAUI,alimentacion,es,Chedraui
COMPRA TDC LABORATORIO CHOPO,salud,es,Laboratorio Chopo
RECURRING DENTAL CLINIC,salud,en,Dental Clinic
COMPRA Renner,compras,pt,Renner
DEEZER PREMIUM,entretenimiento,pt,Deezer Premium
PAYMENT Wayfair Furniture,vivienda,en,Wayfair Furniture
CARTAO Ingresso.com Show,entretenimiento,pt,Ingresso.com Show
REGALO CUMPLEANOS TIJUANA,otros,es,Regalo Cumpleanos
Impostos SALVADOR,finanzas,pt,Impostos
CARTAO Azul Linhas Aereas,transporte,pt,Azul Linhas Aereas
LIVROS,educacion,pt,Livros
Metrobus TIJUANA,transporte,es,Metrobus
PIX Casa do Pao de Queijo,alimentacion,pt,Casa do Pao de Queijo
Doacao ONG BR,otros,pt,Doacao ONG
WALMART US #1759,compras,en,Walmart US
NIKE STORE,compras,es,Nike Store
COMPRA TDC ESTACIONAMIENTO CENTRO,transporte,es,Estacionamiento Centro
HULU #2667,entretenimiento,en,Hulu
TARJ BURGER KING,alimentacion,es,Burger King
COMPRA TDC INTERESES CREDITO NOMINA,finanzas,es,Intereses Credito Nomina
UCI Cinemas,entretenimiento,pt,UCI Cinemas
EDUCACION,educacion,es,Educacion
TED MERCADO LIVRE,compras,pt,Mercado Livre
Subway SUC 7716,alimentacion,es,Subway
TED ATACADAO,alimentacion,pt,Atacadao
SHELL GAS STATION *EFKVOUU,transporte,en,Shell Gas Station
Aluguel Recebido #3895,ingresos,pt,Aluguel Recebido
CLINICA ODONTOLOGICA,salud,pt,Clinica Odontologica
MARISQUERIA LA COSTA *XGX8W,alimentacion,es,Marisqueria La Costa
Life Insurance Premium,finanzas,en,Life Insurance Premium
Twitch Subscription SEATTLE,entretenimiento,en,Twitch Subscription
COMPRA EN Cafe Punta del Cielo,alimentacion,es,Cafe Punta del Cielo
Abono de Sueldo MEX,ingresos,es,Abono de Sueldo
IKEA,vivienda,en,IKEA
Mudanza Express SUC 8254,vivienda,es,Mudanza Express
MENSALIDADE,educacion,pt,Mensalidade
BITSO CRIPTO *Q70K65I,ahorro_inversion,es,Bitso Cripto
TRANSPORTE PUBLICO,transporte,es,Transporte Publico
Doctor Visit NEW YORK,salud,en,Doctor Visit
RECURRING Wegmans,alimentacion,en,Wegmans
FCIA DEL AHORRO,salud,es,FCIA del Ahorro
United Airlines US,transporte,en,United Airlines
BARBEARIA DO JOAO,otros,pt,Barbearia do Joao
INVESTIMENTO XP,ahorro_inversion,pt,Investimento XP
Dentista,salud,es,Dentista
DOM PAPELERIA LUMEN,educacion,es,Papeleria Lumen
COMPRA TDC Administracion Fraccionamiento,vivienda,es,Administracion Fraccionamiento
Reembolso de Gastos,ingresos,es,Reembolso de Gastos
TRANSFERENCIA PARA POUPANCA,ahorro_inversion,pt,Transferencia para Poupanca
PAGO SERVICIO McDonalds,alimentacion,es,McDonalds
CARD Unidentified Charge,otros,en,Unidentified Charge
CUOTA DE MANTENIMIENTO,vivienda,es,Cuota de Mantenimiento
Padaria Bella Paulista *2PJGDS,alimentacion,pt,Padaria Bella Paulista
COMPRA EN Papeleria Lumen,educacion,es,Papeleria Lumen
Farmacia PORTO ALEGRE,salud,pt,Farmacia
RENNER #6326,compras,pt,Renner
CARTAO TIM CELULAR,servicios,pt,TIM Celular
Gas Domestico,servicios,es,Gas Domestico
PAGAMENTO INVESTIMENTO XP,ahorro_inversion,pt,Investimento XP
Disposicion de Efectivo MEX,otros,es,Disposicion de Efectivo
Gol Linhas Aereas CURITIBA,transporte,pt,Gol Linhas Aereas
COMPRA TDC DiDi,transporte,es,DiDi
Seguro de Vida MetLife,finanzas,es,Seguro de Vida MetLife
Seguro de Auto Qualitas SUC 1461,finanzas,es,Seguro de Auto Qualitas
COMPRA TDC Metro CDMX,transporte,es,Metro CDMX
RENTA RECIBIDA DE INQUILINO,ingresos,es,Renta Recibida de Inquilino
Pharmacy,salud,en,Pharmacy
REGALO CUMPLEANOS *KWBFTM4R,otros,es,Regalo Cumpleanos
DEBIT Barber Shop,otros,en,Barber Shop
PAYMENT Laundromat,otros,en,Laundromat
RECURRING Wendys,alimentacion,en,Wendys
Pharmacy MIAMI,salud,en,Pharmacy
Doacao ONG *HD25,otros,pt,Doacao ONG
QUEST DIAGNOSTICS SEATTLE,salud,en,Quest Diagnostics
Misc Expense LOS ANGELES,otros,en,Misc Expense
COMPRA Material Escolar,educacion,pt,Material Escolar
VANGUARD INVESTMENT,ahorro_inversion,en,Vanguard Investment
LIBRERIA GANDHI,educacion,es,Libreria Gandhi
Extra,alimentacion,pt,Extra
Lavanderia Rapida PORTO ALEGRE,otros,pt,Lavanderia Rapida
Recibo de Luz,servicios,es,Recibo de Luz
COMPRA CARTAO Ponto Frio,compras,pt,Ponto Frio
HEALTH INSURANCE PREMIUM,salud,en,Health Insurance Premium
Verizon Wireless *5OD7B1U9,servicios,en,Verizon Wireless
Andrea Zapatos TIJUANA,compras,es,Andrea Zapatos
POS ALBERTSONS,alimentacion,en,Albertsons
PAGAMENTO DE CLIENTE *1ZYEDHY6,ingresos,pt,Pagamento de Cliente
TREN LIGERO #1831,transporte,es,Tren Ligero
CARD PLANET FITNESS,entretenimiento,en,Planet Fitness
Regalo Cumpleanos MEX,otros,es,Regalo Cumpleanos
ACH Health Insurance Premium,salud,en,Health Insurance Premium
PAGAMENTO ALUGUEL RECEBIDO,ingresos,pt,Aluguel Recebido
Taco Bell *21YAN,alimentacion,en,Taco Bell
SPORTSWORLD GYM #9524,entretenimiento,es,Sportsworld Gym
Sabesp Agua #9380,servicios,pt,Sabesp Agua
COMPRA TDC Coursera Cursos,educacion,es,Coursera Cursos
SITIO TAXI REFORMA SUC 6124,transporte,es,Sitio Taxi Reforma
Kumon Matematicas *W6APD,educacion,es,Kumon Matematicas
COMPRA DE BITCOIN BR,ahorro_inversion,pt,Compra de Bitcoin
TELMEX,servicios,es,Telmex
Groceries CHICAGO,alimentacion,en,Groceries
Barbearia do Joao SAO PAULO,otros,pt,Barbearia do Joao
Mortgage Payment #4316,vivienda,en,Mortgage Payment
CARTAO IPTU Prefeitura,vivienda,pt,IPTU Prefeitura
Barber Shop,otros,en,Barber Shop
Cartorio Taxa *OC1IQZ4J,otros,pt,Cartorio Taxa
Debt Payment MIAMI,finanzas,en,Debt Payment
Mortgage,vivienda,en,Mortgage
Financiamento da Casa SAO PAULO,vivienda,pt,Financiamento da Casa
PAYMENT Walgreens,salud,en,Walgreens
TED PAGAMENTO DE CLIENTE,ingresos,pt,Pagamento de Cliente
BUS FARE,transporte,en,Bus Fare
COMPRA EN Reembolso de Gastos,ingresos,es,Reembolso de Gastos
Reembolso de Despesas BR,ingresos,pt,Reembolso de Despesas
DEBITO AUTOMATICO TIM Celular,servicios,pt,TIM Celular
Latam Brasil #7823,transporte,pt,Latam Brasil
PAGO CRUNCHYROLL,entretenimiento,es,Crunchyroll
Bobs *NS5MHIE,alimentacion,pt,Bobs
Financiamento Imobiliario Caixa BR,vivienda,pt,Financiamento Imobiliario Caixa
DEBITO AUTOMATICO BOBS,alimentacion,pt,Bobs
POS ETSY,compras,en,Etsy
COMPRA EN TALLER MECANICO LOPEZ,transporte,es,Taller Mecanico Lopez
PAGO DE ALQUILER,vivienda,es,Pago de Alquiler
XBOX LIVE SEATTLE,entretenimiento,en,Xbox Live
CONDOMINIO,vivienda,pt,Condominio
DEBIT Internet Service Provider,servicios,en,Internet Service Provider
EZ PASS TOLL *WJ8G,transporte,en,EZ Pass Toll
Inscripcion Tec de Monterrey,educacion,es,Inscripcion Tec de Monterrey
COMPRA TDC Predial Municipal,finanzas,es,Predial Municipal
POS WATER BILL,servicios,en,Water Bill
TED Renner,compras,pt,Renner
PURCHASE TRADER JOES,alimentacion,en,Trader Joes
COMPRA TDC MOBIL,transporte,es,Mobil
Riachuelo BR,compras,pt,Riachuelo
Bershka SUC 3783,compras,es,Bershka
STUDENT LOAN PAYMENT US,educacion,en,Student Loan Payment
DENTISTA,salud,es,Dentista
SENDAS BR,alimentacion,pt,Sendas
Padaria CURITIBA,alimentacion,pt,Padaria
DEBITO AUTOMATICO Conta de Luz Enel,servicios,pt,Conta de Luz Enel
Best Buy Mexico MERIDA,compras,es,Best Buy Mexico
TARJ SKY TELEVISION,servicios,es,Sky Television
SALIDA CON AMIGOS,entretenimiento,es,Salida con Amigos
PAGO Kuspit Inversiones,ahorro_inversion,es,Kuspit Inversiones
Transferencia a Cuenta de Ahorro *0RQ1MISM,ahorro_inversion,es,Transferencia a Cuenta de Ahorro
COLEGIATURA,educacion,es,Colegiatura
China in Box #4301,alimentacion,pt,China in Box
TOTALPLAY,servicios,es,Totalplay
Urgent Care Visit US,salud,en,Urgent Care Visit
Compra Online RECIFE,compras,pt,Compra Online
Peaje,transporte,es,Peaje
FOLHA DE PAGAMENTO,ingresos,pt,Folha de Pagamento
TARJ FARMACIAS GUADALAJARA,salud,es,Farmacias Guadalajara
WAYFAIR FURNITURE MIAMI,vivienda,en,Wayfair Furniture
COMPRA EN COMERCIAL MEXICANA,alimentacion,es,Comercial Mexicana
OTHER,otros,en,Other
Delta Air Lines *YLBXPUE8,transporte,en,Delta Air Lines
WEGMANS #7571,alimentacion,en,Wegmans
CARTAO FAST SHOP,compras,pt,Fast Shop
TAXES,finanzas,en,Taxes
Uber Brasil,transporte,pt,Uber Brasil
Investimento XP RECIFE,ahorro_inversion,pt,Investimento XP
SAUDE,salud,pt,Saude
INCOME,ingresos,en,Income
SUPERAMA,alimentacion,es,Superama
Gimnasio,entretenimiento,es,Gimnasio
OLIVE GARDEN *2HPN,alimentacion,en,Olive Garden
Transferencia para Poupanca,ahorro_inversion,pt,Transferencia para Poupanca
ELECTRIC UTILITY BILL,servicios,en,Electric Utility Bill
COMPRA TDC HBO MAX,entretenimiento,es,HBO Max
TARJ VIVA AEROBUS,transporte,es,Viva Aerobus
POSTO SHELL,transporte,pt,Posto Shell
BITSO CRIPTO SUC 3820,ahorro_inversion,es,Bitso Cripto
Amil Saude,salud,pt,Amil Saude
POS REGAL CINEMAS,entretenimiento,en,Regal Cinemas
COMPRA EN TEATRO INSURGENTES,entretenimiento,es,Teatro Insurgentes
Libreria Gandhi MEX,educacion,es,Libreria Gandhi
CARTAO Lavanderia Rapida,otros,pt,Lavanderia Rapida
PURCHASE Plumbing Service,vivienda,en,Plumbing Service
ACH Chevron,transporte,en,Chevron
HOA FEES,vivienda,en,HOA Fees
BIO RITMO ACADEMIA BR,entretenimiento,pt,Bio Ritmo Academia
EQUINOX GYM *U3469,entretenimiento,en,Equinox Gym
Intereses MONTERREY,finanzas,es,Intereses
Inversion GBM Fondos MEX,ahorro_inversion,es,Inversion GBM Fondos
DOM AMAZON MEXICO,compras,es,Amazon Mexico
PIX Vivo Fibra,servicios,pt,Vivo Fibra
DEBIT KHAN ACADEMY DONATION,educacion,en,Khan Academy Donation
TED Descomplica,educacion,pt,Descomplica
POS 401k Contribution,ahorro_inversion,en,401k Contribution
TEMU MEX,compras,es,Temu
Anuidade do Cartao,finanzas,pt,Anuidade do Cartao
CARTAO Anuidade Cartao Bradesco,finanzas,pt,Anuidade Cartao Bradesco
Cobro a Cliente Freelance,ingresos,es,Cobro a Cliente Freelance
Mercadinho Sao Luiz BR,alimentacion,pt,Mercadinho Sao Luiz
PlayStation Store,entretenimiento,es,PlayStation Store
Casas Bahia BR,compras,pt,Casas Bahia
DOM Devolucion de Impuestos SAT,ingresos,es,Devolucion de Impuestos SAT
Soriana,alimentacion,es,Soriana
Curso SALVADOR,educacion,pt,Curso
PAYMENT Regal Cinemas,entretenimiento,en,Regal Cinemas
HOSPITAL ALBERT EINSTEIN *KTM63RM,salud,pt,Hospital Albert Einstein
BP FUEL #2338,transporte,en,BP Fuel
DISH MEXICO SUC 6018,servicios,es,Dish Mexico
Luz,servicios,es,Luz
Ingreso,ingresos,es,Ingreso
Estacionamiento,transporte,es,Estacionamiento
Saque RIO DE JANEIRO,otros,pt,Saque
Clinica Odontologica #2134,salud,pt,Clinica Odontologica
Combustivel BELO HORIZONTE,transporte,pt,Combustivel
Academia Smart Fit,entretenimiento,pt,Academia Smart Fit
LEISURE,entretenimiento,en,Leisure
Saude CURITIBA,salud,pt,Saude
RECURRING LabCorp,salud,en,LabCorp
Enrollment,educacion,en,Enrollment
PAGO SERVICIO Vips,alimentacion,es,Vips
WAYFAIR FURNITURE #9237,vivienda,en,Wayfair Furniture
Xbox Game Pass MERIDA,entretenimiento,es,Xbox Game Pass
NIKE US,compras,en,Nike
Estacionamento RIO DE JANEIRO,transporte,pt,Estacionamento
Globoplay,entretenimiento,pt,Globoplay
Assai Atacadista #2915,alimentacion,pt,Assai Atacadista
PAGO Pago Tarjeta de Credito BBVA,finanzas,es,Pago Tarjeta de Credito BBVA
Cargo Varios,otros,es,Cargo Varios
PAYMENT Adidas US,compras,en,Adidas US
COURSERA SUBSCRIPTION,educacion,en,Coursera Subscription
Bonificacion CDMX,ingresos,es,Bonificacion
Emprestimo Pessoal Santander #8168,finanzas,pt,Emprestimo Pessoal Santander
MACYS,compras,en,Macys
STREAMING,entretenimiento,es,Streaming
LIVERPOOL MUEBLES #1970,vivienda,es,Liverpool Muebles
PUBLIC TRANSIT,transporte,en,Public Transit
Barbearia do Joao BR,otros,pt,Barbearia do Joao
UNIVERSITY TUITION,educacion,en,University Tuition
ALIEXPRESS *43G8DUEM,compras,es,AliExpress
POSTO IPIRANGA,transporte,pt,Posto Ipiranga
Electronica,compras,es,Electronica
Andrea Zapatos,compras,es,Andrea Zapatos
DOM LIVERPOOL,compras,es,Liverpool
Naturgy Gas,servicios,es,Naturgy Gas
PIX Pao de Acucar,alimentacion,pt,Pao de Acucar
COMPRA DE DOLARES,ahorro_inversion,es,Compra de Dolares
Veterinaria Patitas MONTERREY,otros,es,Veterinaria Patitas
WATER BILL DENVER,servicios,en,Water Bill
NATURAL GAS COMPANY US,servicios,en,Natural Gas Company
DEBIT ETSY,compras,en,Etsy
DEBITO AUTOMATICO MENSALIDADE ESCOLA OBJETIVO,educacion,pt,Mensalidade Escola Objetivo
PAGO CINEPOLIS,entretenimiento,es,Cinepolis
CONTA DE GAS,servicios,pt,Conta de Gas
Tuition,educacion,en,Tuition
Trader Joes *DI6SO,alimentacion,en,Trader Joes
GLOBOPLAY #1509,entretenimiento,pt,Globoplay
POS LabCorp,salud,en,LabCorp
DEBIT Coinbase Purchase,ahorro_inversion,en,Coinbase Purchase
ONLINE PURCHASE,compras,en,Online Purchase
Lyft US,transporte,en,Lyft
Anualidad de Tarjeta,finanzas,es,Anualidad de Tarjeta
ELECTRICITY,servicios,en,Electricity
ACH UNITED AIRLINES,transporte,en,United Airlines
TARJ SALON DE BELLEZA GLAMOUR,otros,es,Salon de Belleza Glamour
