tasa_ahorro,ratio_endeudamiento,ratio_gasto_ingreso,ratio_gasto_esencial,ratio_gasto_discrecional,concentracion_gasto,frecuencia_ahorro_num,ratio_recurrente,perfil_slug
0.147,0.359,0.853,0.599,0.115,0.753,2,0.113,en_riesgo
0.113,0.179,0.887,0.559,0.202,0.676,2,0.355,en_observacion
0.275,0.249,0.725,0.332,0.136,0.270,3,0.146,saludable
-0.287,0.499,1.287,0.901,0.162,0.673,1,0.492,en_riesgo
-0.091,0.490,1.091,0.790,0.292,0.162,0,0.193,en_riesgo
0.036,0.700,0.964,0.717,0.176,0.353,0,0.170,en_riesgo
0.503,0.240,0.497,0.316,0.086,0.539,2,0.075,saludable
0.353,0.042,0.647,0.476,0.158,0.495,3,0.624,saludable
-0.296,0.617,1.296,0.954,0.138,0.556,0,0.226,en_riesgo
0.090,0.314,0.910,0.622,0.152,0.771,1,0.404,en_riesgo
-0.143,0.371,1.143,0.912,0.227,0.513,0,0.162,en_riesgo
0.158,0.163,0.842,0.659,0.132,0.657,1,0.247,en_observacion
-0.178,0.403,1.178,0.594,0.143,0.068,0,0.299,en_riesgo
0.529,0.039,0.471,0.334,0.132,0.600,3,0.305,saludable
0.421,0.114,0.579,0.265,0.259,0.338,2,0.284,saludable
0.226,0.230,0.774,0.465,0.203,0.595,2,0.186,en_observacion
0.211,0.270,0.789,0.595,0.135,0.199,1,0.267,en_observacion
0.161,0.171,0.839,0.434,0.094,0.758,2,0.016,en_observacion
0.334,0.152,0.666,0.387,0.080,0.466,3,0.240,saludable
-0.015,0.515,1.015,0.487,0.237,0.371,0,0.132,en_riesgo
0.078,0.253,0.922,0.517,0.169,0.846,1,0.194,en_observacion
-0.045,0.432,1.045,0.540,0.162,0.837,0,0.181,en_riesgo
-0.129,0.477,1.129,0.547,0.291,0.677,0,0.282,en_riesgo
0.135,0.254,0.865,0.686,0.126,0.315,2,0.180,en_observacion
0.047,0.348,0.953,0.672,0.229,0.637,1,0.262,en_riesgo
-0.024,0.557,1.024,0.642,0.242,0.602,1,0.234,en_riesgo
-0.141,0.619,1.141,0.576,0.327,0.687,0,0.069,en_riesgo
0.172,0.286,0.828,0.636,0.136,0.655,1,0.205,en_observacion
0.537,0.198,0.463,0.223,0.198,0.265,2,0.077,saludable
0.222,0.295,0.778,0.591,0.093,0.375,1,0.095,en_observacion
0.342,0.006,0.658,0.463,0.093,0.436,2,0.156,saludable
0.008,0.250,0.992,0.696,0.282,0.480,2,0.215,en_riesgo
0.120,0.199,0.880,0.424,0.302,0.876,2,0.093,en_observacion
0.073,0.297,0.927,0.492,0.215,0.909,2,0.080,en_riesgo
-0.205,0.561,1.205,0.702,0.284,0.055,1,0.155,en_riesgo
-0.314,0.573,1.314,0.946,0.348,0.314,0,0.103,en_riesgo
0.120,0.189,0.880,0.507,0.211,0.673,2,0.301,en_observacion
0.388,0.176,0.612,0.416,0.162,0.584,3,0.366,saludable
0.340,0.190,0.660,0.333,0.195,0.135,3,0.098,saludable
0.197,0.155,0.803,0.483,0.307,0.210,2,0.317,en_observacion
0.010,0.360,0.990,0.582,0.243,0.346,0,0.314,en_riesgo
-0.238,0.573,1.238,0.920,0.281,0.392,1,0.156,en_riesgo
0.316,0.187,0.684,0.481,0.137,0.366,3,0.141,saludable
-0.383,0.531,1.383,1.103,0.219,0.562,0,0.482,en_riesgo
-0.437,0.750,1.437,0.978,0.150,0.799,0,0.247,en_riesgo
0.103,0.424,0.897,0.585,0.284,0.289,1,0.095,en_riesgo
-0.025,0.561,1.025,0.695,0.150,0.286,1,0.066,en_riesgo
0.454,0.248,0.546,0.255,0.140,0.589,3,0.283,saludable
0.254,0.009,0.746,0.524,0.116,0.878,3,0.435,saludable
0.392,0.088,0.608,0.475,0.093,0.582,2,0.235,saludable
0.094,0.283,0.906,0.715,0.187,0.071,2,0.496,en_observacion
0.186,0.358,0.814,0.595,0.219,0.151,1,0.160,en_observacion
-0.003,0.740,1.003,0.489,0.104,0.602,0,0.506,en_riesgo
0.267,0.068,0.733,0.440,0.076,0.337,2,0.298,saludable
-0.081,0.405,1.081,0.787,0.180,0.746,1,0.264,en_riesgo
0.319,0.247,0.681,0.432,0.163,0.534,3,0.175,saludable
0.300,0.202,0.700,0.362,0.277,0.752,3,0.197,saludable
0.085,0.416,0.915,0.676,0.124,0.229,2,0.282,en_riesgo
0.180,0.253,0.820,0.576,0.172,0.808,1,0.099,en_observacion
0.496,0.214,0.504,0.338,0.123,0.791,3,0.104,saludable
0.153,0.160,0.847,0.604,0.176,0.327,1,0.433,en_observacion
0.341,0.091,0.659,0.299,0.088,0.089,2,0.147,saludable
0.230,0.390,0.770,0.458,0.134,0.639,2,0.278,en_observacion
0.163,0.325,0.837,0.663,0.130,0.503,1,0.097,en_observacion
0.124,0.286,0.876,0.627,0.225,0.732,2,0.350,en_observacion
0.084,0.298,0.916,0.696,0.191,0.351,1,0.280,en_riesgo
0.328,0.048,0.672,0.530,0.116,0.216,2,0.122,saludable
0.095,0.227,0.905,0.534,0.136,0.691,2,0.484,en_observacion
0.472,0.104,0.528,0.413,0.114,0.184,2,0.076,saludable
0.233,0.021,0.767,0.487,0.149,0.408,3,0.216,saludable
0.243,0.248,0.757,0.369,0.092,0.463,2,0.085,en_observacion
0.170,0.169,0.830,0.419,0.119,0.357,1,0.391,en_observacion
-0.323,0.714,1.323,0.767,0.449,0.443,1,0.189,en_riesgo
-0.346,0.539,1.346,0.763,0.210,0.472,0,0.386,en_riesgo
-0.403,0.604,1.403,0.764,0.488,0.065,0,0.135,en_riesgo
0.008,0.186,0.992,0.695,0.193,0.668,2,0.050,en_riesgo
0.116,0.202,0.884,0.574,0.260,0.184,2,0.169,en_observacion
-0.433,0.473,1.433,0.804,0.449,0.215,1,0.270,en_riesgo
-0.317,0.526,1.317,0.935,0.318,0.374,1,0.321,en_riesgo
0.208,0.001,0.792,0.424,0.347,0.318,3,0.254,saludable
0.050,0.453,0.950,0.469,0.150,0.234,0,0.232,en_riesgo
-0.431,0.522,1.431,0.899,0.256,0.306,0,0.400,en_riesgo
0.207,0.154,0.793,0.374,0.184,0.630,1,0.452,en_observacion
-0.181,0.452,1.181,0.579,0.513,0.386,1,0.115,en_riesgo
0.382,0.143,0.618,0.444,0.137,0.203,3,0.203,saludable
0.534,0.160,0.466,0.265,0.069,0.515,3,0.162,saludable
0.150,0.152,0.850,0.641,0.121,0.405,2,0.383,en_observacion
0.313,0.034,0.687,0.480,0.090,0.445,2,0.057,saludable
0.110,0.370,0.890,0.580,0.267,0.492,2,0.251,en_observacion
-0.159,0.673,1.159,0.738,0.123,0.283,0,0.086,en_riesgo
0.459,0.109,0.541,0.311,0.066,0.610,3,0.166,saludable
-0.428,0.409,1.428,0.995,0.344,0.345,1,0.217,en_riesgo
0.053,0.348,0.947,0.696,0.105,0.569,2,0.030,en_riesgo
0.541,0.080,0.459,0.366,0.060,0.900,2,0.152,saludable
0.178,0.361,0.822,0.504,0.315,0.365,2,0.121,en_observacion
0.393,0.227,0.607,0.284,0.248,0.569,3,0.149,saludable
-0.409,0.359,1.409,0.984,0.356,0.239,0,0.325,en_riesgo
-0.349,0.403,1.349,0.695,0.309,0.462,0,0.166,en_riesgo
0.085,0.414,0.915,0.582,0.201,0.270,1,0.227,en_riesgo
0.246,0.243,0.754,0.426,0.087,0.629,3,0.271,en_observacion
0.240,0.090,0.760,0.445,0.291,0.450,3,0.172,saludable
0.165,0.293,0.835,0.414,0.094,0.185,1,0.208,en_observacion
0.057,0.419,0.943,0.485,0.124,0.318,2,0.446,en_riesgo
0.522,0.239,0.478,0.274,0.103,0.560,3,0.332,saludable
0.545,0.054,0.455,0.341,0.107,0.311,3,0.388,saludable
0.103,0.213,0.897,0.635,0.106,0.176,2,0.256,en_observacion
0.376,0.187,0.624,0.497,0.073,0.712,2,0.107,saludable
0.194,0.425,0.806,0.594,0.175,0.283,2,0.274,en_riesgo
-0.219,0.679,1.219,0.597,0.401,0.423,1,0.588,en_riesgo
0.206,0.394,0.794,0.486,0.168,0.439,1,0.190,en_observacion
-0.082,0.359,1.082,0.495,0.467,0.409,0,0.269,en_riesgo
0.395,0.133,0.605,0.477,0.118,0.366,3,0.115,saludable
-0.131,0.359,1.131,0.648,0.284,0.533,0,0.167,en_riesgo
0.239,0.250,0.761,0.478,0.247,0.598,2,0.143,en_observacion
0.511,0.002,0.489,0.335,0.080,0.526,3,0.079,saludable
0.396,0.074,0.604,0.280,0.194,0.356,3,0.263,saludable
0.544,0.092,0.456,0.341,0.057,0.558,2,0.548,saludable
-0.356,0.627,1.356,0.752,0.465,0.359,1,0.175,en_riesgo
-0.334,0.684,1.334,0.794,0.297,0.400,0,0.600,en_riesgo
0.236,0.434,0.764,0.357,0.300,0.363,2,0.319,en_observacion
-0.114,0.667,1.114,0.600,0.136,0.516,0,0.067,en_riesgo
-0.338,0.414,1.338,0.800,0.535,0.492,0,0.161,en_riesgo
0.223,0.100,0.777,0.494,0.132,0.313,3,0.228,saludable
0.158,0.160,0.842,0.499,0.142,0.162,1,0.337,en_observacion
0.143,0.303,0.857,0.524,0.178,0.408,1,0.397,en_riesgo
-0.169,0.438,1.169,0.549,0.280,0.906,1,0.128,en_riesgo
0.262,0.099,0.738,0.446,0.094,0.431,3,0.157,saludable
0.266,0.214,0.734,0.562,0.157,0.173,2,0.156,saludable
0.295,0.094,0.705,0.488,0.078,0.144,3,0.056,saludable
-0.097,0.577,1.097,0.639,0.446,0.307,0,0.404,en_riesgo
-0.072,0.744,1.072,0.584,0.180,0.421,0,0.237,en_riesgo
0.344,0.175,0.656,0.422,0.119,0.255,2,0.129,saludable
0.273,0.037,0.727,0.374,0.319,0.155,3,0.647,saludable
-0.084,0.381,1.084,0.529,0.213,0.549,0,0.181,en_riesgo
-0.048,0.459,1.048,0.744,0.227,0.519,1,0.195,en_riesgo
0.521,0.135,0.479,0.324,0.131,0.420,2,0.070,saludable
0.303,0.165,0.697,0.536,0.079,0.420,3,0.131,saludable
-0.281,0.780,1.281,0.854,0.376,0.621,0,0.335,en_riesgo
0.225,0.107,0.775,0.456,0.274,0.378,3,0.141,saludable
0.490,0.156,0.510,0.268,0.092,0.260,3,0.657,saludable
0.178,0.421,0.822,0.546,0.253,0.193,2,0.360,en_observacion
-0.305,0.422,1.305,0.820,0.431,0.757,1,0.280,en_riesgo
-0.402,0.550,1.402,1.070,0.317,0.179,0,0.127,en_riesgo
0.431,0.034,0.569,0.302,0.246,0.178,3,0.392,saludable
0.009,0.366,0.991,0.572,0.100,0.367,2,0.241,en_riesgo
0.380,0.097,0.620,0.488,0.104,0.157,3,0.243,saludable
-0.035,0.535,1.035,0.632,0.383,0.847,1,0.134,en_riesgo
-0.244,0.610,1.244,0.869,0.346,0.274,0,0.381,en_riesgo
-0.162,0.590,1.162,0.706,0.451,0.354,0,0.117,en_riesgo
0.263,0.235,0.737,0.451,0.095,0.199,2,0.111,saludable
-0.050,0.431,1.050,0.739,0.249,0.672,1,0.159,en_riesgo
0.222,0.146,0.778,0.458,0.253,0.765,3,0.116,en_observacion
0.088,0.421,0.912,0.674,0.129,0.472,2,0.066,en_riesgo
0.104,0.227,0.896,0.662,0.103,0.300,1,0.379,en_observacion
0.192,0.217,0.808,0.554,0.200,0.543,1,0.126,en_observacion
0.107,0.312,0.893,0.481,0.325,0.376,1,0.646,en_riesgo
0.226,0.226,0.774,0.517,0.115,0.576,3,0.256,en_observacion
0.327,0.240,0.673,0.532,0.116,0.711,3,0.081,saludable
0.228,0.067,0.772,0.536,0.103,0.387,2,0.191,saludable
0.083,0.262,0.917,0.720,0.196,0.150,1,0.303,en_riesgo
-0.367,0.660,1.367,0.982,0.199,0.286,0,0.240,en_riesgo
0.294,0.087,0.706,0.356,0.311,0.138,3,0.174,saludable
0.491,0.100,0.509,0.291,0.093,0.480,3,0.087,saludable
0.074,0.268,0.926,0.567,0.293,0.071,1,0.097,en_observacion
0.358,0.230,0.642,0.357,0.158,0.542,3,0.309,saludable
0.202,0.342,0.798,0.522,0.121,0.425,1,0.343,en_observacion
-0.205,0.632,1.205,0.552,0.142,0.600,0,0.293,en_riesgo
0.235,0.121,0.765,0.493,0.269,0.756,3,0.224,saludable
0.069,0.401,0.931,0.557,0.233,0.392,1,0.121,en_riesgo
0.141,0.284,0.859,0.405,0.248,0.515,2,0.409,en_observacion
-0.044,0.671,1.044,0.719,0.256,0.332,1,0.126,en_riesgo
0.255,0.164,0.745,0.425,0.210,0.572,3,0.249,saludable
-0.160,0.709,1.160,0.592,0.426,0.167,1,0.231,en_riesgo
0.005,0.419,0.995,0.517,0.127,0.594,1,0.122,en_riesgo
0.153,0.301,0.847,0.488,0.208,0.289,2,0.487,en_observacion
0.489,0.207,0.511,0.368,0.128,0.276,3,0.294,saludable
0.210,0.424,0.790,0.357,0.084,0.202,2,0.460,en_observacion
0.365,0.125,0.635,0.373,0.175,0.217,3,0.012,saludable
-0.360,0.663,1.360,0.738,0.442,0.337,1,0.385,en_riesgo
0.547,0.079,0.453,0.258,0.121,0.493,3,0.079,saludable
0.313,0.184,0.687,0.520,0.099,0.807,2,0.329,saludable
-0.150,0.778,1.150,0.527,0.220,0.500,0,0.089,en_riesgo
0.128,0.341,0.872,0.405,0.353,0.546,2,0.168,en_observacion
0.204,0.166,0.796,0.420,0.287,0.411,3,0.177,saludable
-0.039,0.677,1.039,0.686,0.153,0.323,1,0.120,en_riesgo
0.327,0.027,0.673,0.364,0.160,0.249,3,0.254,saludable
0.389,0.161,0.611,0.478,0.132,0.290,3,0.136,saludable
-0.412,0.384,1.412,0.861,0.423,0.124,0,0.129,en_riesgo
-0.338,0.662,1.338,0.887,0.380,0.698,0,0.169,en_riesgo
0.538,0.198,0.462,0.232,0.104,0.556,3,0.248,saludable
0.538,0.088,0.462,0.229,0.174,0.184,3,0.222,saludable
-0.325,0.578,1.325,1.056,0.182,0.234,1,0.235,en_riesgo
0.275,0.160,0.725,0.494,0.099,0.661,2,0.086,saludable
-0.365,0.412,1.365,0.743,0.216,0.210,0,0.189,en_riesgo
-0.233,0.386,1.233,0.972,0.216,0.535,0,0.394,en_riesgo
-0.076,0.677,1.076,0.716,0.274,0.247,0,0.255,en_riesgo
0.216,0.273,0.784,0.430,0.113,0.548,1,0.350,en_observacion
0.009,0.435,0.991,0.745,0.215,0.309,1,0.205,en_riesgo
-0.039,0.778,1.039,0.670,0.128,0.106,0,0.342,en_riesgo
0.340,0.195,0.660,0.484,0.131,0.248,3,0.244,saludable
-0.077,0.443,1.077,0.630,0.396,0.101,0,0.223,en_riesgo
0.039,0.487,0.961,0.665,0.131,0.107,1,0.162,en_riesgo
0.032,0.703,0.968,0.690,0.141,0.543,1,0.339,en_riesgo
0.013,0.222,0.987,0.725,0.171,0.168,1,0.163,en_riesgo
-0.324,0.535,1.324,0.599,0.292,0.418,1,0.118,en_riesgo
-0.355,0.781,1.355,0.618,0.343,0.392,0,0.279,en_riesgo
0.211,0.239,0.789,0.446,0.335,0.148,2,0.410,en_observacion
0.158,0.200,0.842,0.473,0.344,0.281,2,0.128,en_observacion
-0.263,0.590,1.263,0.850,0.363,0.092,0,0.274,en_riesgo
0.143,0.430,0.857,0.525,0.326,0.192,2,0.183,en_riesgo
0.034,0.552,0.966,0.736,0.137,0.706,0,0.324,en_riesgo
0.069,0.307,0.931,0.688,0.097,0.124,2,0.314,en_riesgo
0.239,0.183,0.761,0.440,0.225,0.193,1,0.152,saludable
-0.368,0.768,1.368,1.092,0.141,0.573,0,0.269,en_riesgo
-0.124,0.447,1.124,0.767,0.278,0.526,0,0.099,en_riesgo
0.541,0.023,0.459,0.338,0.085,0.276,2,0.294,saludable
-0.107,0.584,1.107,0.776,0.272,0.387,0,0.110,en_riesgo
0.039,0.197,0.961,0.641,0.287,0.111,2,0.173,en_observacion
-0.160,0.614,1.160,0.804,0.235,0.457,0,0.461,en_riesgo
0.392,0.092,0.608,0.347,0.131,0.222,2,0.514,saludable
-0.289,0.610,1.289,0.759,0.374,0.087,0,0.205,en_riesgo
0.057,0.161,0.943,0.457,0.227,0.328,1,0.438,en_observacion
0.185,0.296,0.815,0.528,0.132,0.451,1,0.376,en_observacion
0.189,0.374,0.811,0.473,0.116,0.374,2,0.658,en_observacion
0.309,0.012,0.691,0.552,0.123,0.436,3,0.154,saludable
-0.344,0.782,1.344,0.837,0.145,0.250,0,0.498,en_riesgo
-0.339,0.721,1.339,0.855,0.449,0.110,0,0.152,en_riesgo
-0.404,0.743,1.404,1.004,0.380,0.496,0,0.105,en_riesgo
0.206,0.296,0.794,0.600,0.144,0.413,1,0.156,en_observacion
-0.276,0.393,1.276,0.739,0.228,0.119,1,0.172,en_riesgo
0.350,0.043,0.650,0.494,0.096,0.715,3,0.162,saludable
0.532,0.150,0.468,0.218,0.109,0.626,3,0.260,saludable
-0.050,0.634,1.050,0.619,0.376,0.275,0,0.088,en_riesgo
0.099,0.171,0.901,0.547,0.257,0.483,1,0.270,en_observacion
-0.434,0.608,1.434,1.147,0.169,0.778,0,0.507,en_riesgo
-0.070,0.356,1.070,0.798,0.198,0.644,0,0.549,en_riesgo
0.134,0.363,0.866,0.538,0.117,0.236,2,0.090,en_observacion
0.022,0.365,0.978,0.509,0.305,0.434,0,0.234,en_riesgo
-0.228,0.476,1.228,0.775,0.181,0.580,1,0.079,en_riesgo
0.014,0.225,0.986,0.674,0.212,0.357,2,0.386,en_riesgo
-0.068,0.441,1.068,0.688,0.168,0.253,0,0.205,en_riesgo
0.000,0.342,1.000,0.538,0.325,0.319,2,0.491,en_riesgo
0.512,0.244,0.488,0.337,0.113,0.305,2,0.268,saludable
0.187,0.392,0.813,0.631,0.170,0.250,1,0.245,en_observacion
0.229,0.395,0.771,0.493,0.205,0.242,1,0.500,en_riesgo
-0.171,0.586,1.171,0.640,0.394,0.327,0,0.052,en_riesgo
0.090,0.306,0.910,0.624,0.118,0.309,2,0.493,en_observacion
0.146,0.365,0.854,0.550,0.117,0.409,1,0.034,en_riesgo
0.365,0.193,0.635,0.447,0.076,0.128,2,0.072,saludable
0.308,0.098,0.692,0.540,0.111,0.632,2,0.052,saludable
0.525,0.149,0.475,0.242,0.169,0.200,3,0.560,saludable
-0.066,0.495,1.066,0.489,0.320,0.516,0,0.143,en_riesgo
0.125,0.210,0.875,0.654,0.194,0.538,1,0.419,en_observacion
-0.082,0.726,1.082,0.767,0.308,0.593,0,0.132,en_riesgo
-0.152,0.533,1.152,0.530,0.501,0.462,0,0.074,en_riesgo
0.021,0.597,0.979,0.600,0.217,0.423,0,0.400,en_riesgo
-0.345,0.626,1.345,0.795,0.491,0.823,1,0.056,en_riesgo
0.157,0.332,0.843,0.450,0.158,0.592,2,0.503,en_observacion
0.332,0.165,0.668,0.390,0.188,0.253,3,0.202,saludable
0.543,0.151,0.457,0.326,0.091,0.398,3,0.632,saludable
0.077,0.176,0.923,0.656,0.219,0.206,1,0.136,en_observacion
0.194,0.305,0.806,0.423,0.187,0.554,2,0.244,en_observacion
0.530,0.101,0.470,0.312,0.124,0.775,2,0.061,saludable
0.236,0.440,0.764,0.351,0.078,0.180,1,0.169,en_riesgo
0.136,0.305,0.864,0.457,0.301,0.597,2,0.207,en_riesgo
0.326,0.053,0.674,0.500,0.109,0.436,3,0.005,saludable
0.120,0.300,0.880,0.550,0.102,0.256,1,0.219,en_observacion
0.188,0.211,0.812,0.601,0.193,0.302,1,0.210,saludable
0.030,0.762,0.970,0.607,0.100,0.448,0,0.104,en_riesgo
-0.201,0.620,1.201,0.770,0.364,0.353,1,0.149,en_riesgo
0.223,0.417,0.777,0.495,0.199,0.611,1,0.174,en_observacion
0.199,0.413,0.801,0.440,0.157,0.426,1,0.368,en_riesgo
0.329,0.137,0.671,0.536,0.123,0.110,2,0.318,saludable
0.208,0.004,0.792,0.460,0.236,0.217,2,0.367,saludable
-0.003,0.407,1.003,0.455,0.446,0.731,0,0.065,en_riesgo
0.215,0.257,0.785,0.438,0.123,0.143,1,0.346,en_observacion
-0.041,0.493,1.041,0.654,0.116,0.242,1,0.191,en_riesgo
0.201,0.054,0.799,0.618,0.096,0.631,2,0.170,saludable
0.116,0.154,0.884,0.591,0.223,0.142,1,0.290,en_observacion
0.040,0.202,0.960,0.562,0.318,0.373,1,0.212,en_observacion
0.513,0.131,0.487,0.272,0.182,0.297,3,0.351,saludable
-0.278,0.714,1.278,0.946,0.161,0.198,0,0.242,en_riesgo
0.469,0.244,0.531,0.413,0.106,0.531,3,0.113,saludable
0.045,0.546,0.955,0.611,0.207,0.478,1,0.281,en_riesgo
0.416,0.220,0.584,0.362,0.197,0.403,2,0.603,saludable
0.369,0.230,0.631,0.297,0.155,0.209,2,0.311,saludable
0.289,0.037,0.711,0.413,0.193,0.167,3,0.264,saludable
0.473,0.172,0.527,0.372,0.080,0.454,2,0.119,saludable
0.473,0.237,0.527,0.293,0.138,0.326,2,0.182,saludable
0.075,0.321,0.925,0.483,0.176,0.371,2,0.067,en_riesgo
0.306,0.201,0.694,0.474,0.177,0.570,3,0.151,saludable
0.276,0.062,0.724,0.370,0.163,0.351,3,0.043,saludable
0.224,0.198,0.776,0.596,0.110,0.230,3,0.153,saludable
0.445,0.106,0.555,0.307,0.208,0.889,3,0.134,saludable
0.206,0.168,0.794,0.479,0.305,0.288,3,0.062,saludable
0.235,0.350,0.765,0.458,0.211,0.156,2,0.429,en_observacion
-0.016,0.362,1.016,0.661,0.355,0.615,0,0.031,en_riesgo
0.195,0.151,0.805,0.416,0.185,0.468,1,0.267,saludable
0.299,0.193,0.701,0.320,0.304,0.501,3,0.560,saludable
-0.186,0.656,1.186,0.807,0.294,0.251,0,0.059,en_riesgo
0.543,0.028,0.457,0.322,0.115,0.219,2,0.342,saludable
0.328,0.150,0.672,0.348,0.228,0.468,2,0.347,saludable
-0.026,0.578,1.026,0.537,0.175,0.392,0,0.238,en_riesgo
-0.186,0.388,1.186,0.835,0.158,0.167,0,0.318,en_riesgo
0.331,0.071,0.669,0.371,0.297,0.596,3,0.082,saludable
0.534,0.069,0.466,0.356,0.097,0.211,3,0.268,saludable
0.303,0.063,0.697,0.407,0.114,0.698,3,0.257,saludable
0.201,0.419,0.799,0.374,0.303,0.345,2,0.363,en_observacion
-0.384,0.505,1.384,0.943,0.372,0.791,0,0.464,en_riesgo
-0.225,0.702,1.225,0.726,0.469,0.355,0,0.816,en_riesgo
0.009,0.346,0.991,0.622,0.286,0.558,1,0.369,en_riesgo
-0.187,0.422,1.187,0.635,0.469,0.208,1,0.268,en_riesgo
-0.147,0.383,1.147,0.855,0.174,0.369,1,0.124,en_riesgo
0.121,0.277,0.879,0.647,0.185,0.347,1,0.143,en_riesgo
-0.254,0.787,1.254,0.816,0.145,0.305,0,0.052,en_riesgo
-0.330,0.744,1.330,0.800,0.180,0.450,1,0.143,en_riesgo
-0.430,0.700,1.430,0.864,0.527,0.450,0,0.083,en_riesgo
-0.267,0.636,1.267,1.000,0.252,0.429,0,0.286,en_riesgo
-0.083,0.454,1.083,0.656,0.369,0.393,1,0.170,en_riesgo
-0.339,0.450,1.339,0.741,0.148,0.370,0,0.106,en_riesgo
0.001,0.543,0.999,0.740,0.229,0.363,0,0.616,en_riesgo
0.471,0.194,0.529,0.325,0.144,0.370,2,0.144,saludable
0.089,0.353,0.911,0.549,0.226,0.423,2,0.162,en_riesgo
0.491,0.247,0.509,0.358,0.113,0.478,3,0.106,saludable
0.070,0.264,0.930,0.676,0.098,0.346,2,0.046,en_observacion
-0.039,0.640,1.039,0.773,0.183,0.254,0,0.057,en_riesgo
0.050,0.389,0.950,0.528,0.233,0.758,1,0.125,en_riesgo
0.463,0.247,0.537,0.381,0.068,0.307,3,0.228,saludable
0.221,0.217,0.779,0.419,0.240,0.394,2,0.142,saludable
0.304,0.025,0.696,0.494,0.165,0.583,2,0.416,saludable
0.097,0.280,0.903,0.420,0.189,0.342,2,0.431,en_observacion
0.268,0.054,0.732,0.510,0.081,0.400,3,0.361,saludable
-0.287,0.572,1.287,0.923,0.199,0.141,0,0.420,en_riesgo
-0.081,0.798,1.081,0.574,0.296,0.753,0,0.219,en_riesgo
-0.139,0.377,1.139,0.609,0.461,0.461,0,0.164,en_riesgo
0.131,0.224,0.869,0.597,0.091,0.472,1,0.277,en_observacion
0.049,0.150,0.951,0.645,0.246,0.660,2,0.561,en_observacion
-0.203,0.525,1.203,0.872,0.250,0.500,0,0.111,en_riesgo
-0.181,0.445,1.181,0.919,0.170,0.226,0,0.078,en_riesgo
-0.295,0.591,1.295,0.815,0.460,0.492,0,0.395,en_riesgo
0.364,0.145,0.636,0.347,0.097,0.584,3,0.652,saludable
-0.125,0.694,1.125,0.864,0.232,0.536,0,0.073,en_riesgo
0.037,0.351,0.963,0.762,0.156,0.408,1,0.093,en_riesgo
0.040,0.722,0.960,0.747,0.140,0.519,0,0.423,en_riesgo
-0.114,0.682,1.114,0.740,0.323,0.732,0,0.353,en_riesgo
-0.058,0.465,1.058,0.506,0.259,0.363,1,0.122,en_riesgo
-0.009,0.742,1.009,0.792,0.137,0.156,0,0.386,en_riesgo
-0.316,0.616,1.316,0.864,0.309,0.061,1,0.329,en_riesgo
0.316,0.153,0.684,0.349,0.260,0.324,3,0.153,saludable
0.139,0.351,0.861,0.553,0.236,0.437,2,0.172,en_observacion
-0.415,0.738,1.415,0.874,0.210,0.774,1,0.357,en_riesgo
-0.020,0.416,1.020,0.727,0.140,0.302,0,0.263,en_riesgo
-0.244,0.354,1.244,0.877,0.316,0.395,1,0.056,en_riesgo
0.193,0.155,0.807,0.607,0.089,0.465,2,0.354,saludable
0.097,0.155,0.903,0.459,0.121,0.105,1,0.069,en_observacion
0.334,0.193,0.666,0.318,0.103,0.645,3,0.251,saludable
0.463,0.073,0.537,0.368,0.140,0.185,3,0.350,saludable
0.273,0.020,0.727,0.492,0.207,0.103,3,0.219,saludable
0.237,0.219,0.763,0.473,0.134,0.626,1,0.414,en_observacion
0.438,0.080,0.562,0.293,0.068,0.643,3,0.291,saludable
-0.092,0.783,1.092,0.658,0.184,0.557,1,0.573,en_riesgo
-0.430,0.732,1.430,0.932,0.235,0.274,1,0.066,en_riesgo
0.246,0.358,0.754,0.432,0.158,0.358,1,0.380,en_observacion
-0.157,0.537,1.157,0.535,0.215,0.697,0,0.332,en_riesgo
0.021,0.541,0.979,0.459,0.241,0.627,1,0.182,en_riesgo
0.029,0.242,0.971,0.750,0.118,0.406,2,0.441,en_observacion
-0.100,0.619,1.100,0.745,0.157,0.605,0,0.304,en_riesgo
0.074,0.278,0.926,0.637,0.257,0.065,2,0.155,en_observacion
-0.136,0.581,1.136,0.573,0.144,0.527,0,0.350,en_riesgo
0.322,0.030,0.678,0.469,0.185,0.333,2,0.227,saludable
0.467,0.189,0.533,0.300,0.103,0.311,3,0.159,saludable
-0.134,0.390,1.134,0.519,0.202,0.339,1,0.203,en_riesgo
0.160,0.395,0.840,0.495,0.173,0.404,2,0.346,en_observacion
0.219,0.360,0.781,0.493,0.278,0.070,1,0.253,en_observacion
0.204,0.133,0.796,0.503,0.191,0.218,3,0.082,saludable
0.219,0.230,0.781,0.621,0.113,0.453,1,0.049,en_observacion
-0.335,0.621,1.335,0.624,0.161,0.478,0,0.128,en_riesgo
0.038,0.259,0.962,0.631,0.178,0.385,2,0.146,en_riesgo
-0.310,0.617,1.310,0.839,0.281,0.583,1,0.274,en_riesgo
0.234,0.202,0.766,0.434,0.132,0.593,2,0.087,saludable
0.402,0.059,0.598,0.409,0.113,0.420,3,0.055,saludable
0.515,0.160,0.485,0.234,0.049,0.142,3,0.096,saludable
0.275,0.086,0.725,0.498,0.200,0.687,3,0.293,saludable
0.122,0.382,0.878,0.675,0.199,0.216,2,0.196,en_observacion
